,name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
0,BRATS_00002.nii.gz,0.9328,0.8271,0.8493,1.0,1.0,1.0
1,BRATS_00003.nii.gz,0.9341,0.8351,0.8511,1.0,1.0,1.0
2,BRATS_00006.nii.gz,0.9191,0.8535,0.9108,1.0,1.0,1.0
3,BRATS_00008.nii.gz,0.9405,0.8586,0.9162,1.0,1.0,1.0
4,BRATS_00016.nii.gz,0.7557,0.6857,0.875,2.949,3.162,1.541
5,BRATS_00017.nii.gz,0.7652,0.6912,1.0,2.562,2.863,0.0
6,BRATS_00170.nii.gz,0.8718,0.8608,0.4,1.0,1.0,1.989
7,BRATS_00172.nii.gz,0.8135,0.795,0.9412,15.436,15.51,0.28300000000000003
8,BRATS_00176.nii.gz,0.8783,0.8783,0.8675,1.0,1.0,1.0
9,BRATS_00180.nii.gz,0.8879,0.8918,0.8991,1.0,1.0,1.0
10,BRATS_00181.nii.gz,0.899,0.8958,0.875,1.0,1.0,1.0
11,BRATS_00338.nii.gz,0.9607,0.9599,0.9792,0.0,0.0,0.0
12,BRATS_00343.nii.gz,0.9737,0.9632,0.9559,0.0,0.0,0.0
13,BRATS_00347.nii.gz,0.978,0.9705,0.962,0.0,0.0,0.0
14,BRATS_00348.nii.gz,0.9814,0.9761,0.9617,0.0,0.0,0.0
15,BRATS_00351.nii.gz,0.9766,0.9702,0.9706,0.0,0.0,0.0
16,BRATS_00508.nii.gz,0.6694,0.6471,0.0,4.461,4.551,373.129
17,BRATS_00510.nii.gz,0.9135,0.896,0.8444,1.0,1.0,1.59
18,BRATS_00511.nii.gz,0.9397,0.9176,0.8601,1.0,1.0,1.0
19,BRATS_00516.nii.gz,0.9651,0.9124,0.9418,0.0,1.0,1.0
20,BRATS_00517.nii.gz,0.9658,0.9255,0.9441,0.0,1.0,1.0
21,BRATS_00519.nii.gz,0.9564,0.8999,0.9245,0.0,1.0,1.0
22,BRATS_00520.nii.gz,0.9649,0.9071,0.9053,0.0,1.0,1.0
23,BRATS_00675.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
24,BRATS_00682.nii.gz,0.8364,0.8364,1.0,1.0,1.0,0.0
25,BRATS_00684.nii.gz,0.9423,0.9453,1.0,1.0,1.0,0.0
26,BRATS_00687.nii.gz,0.9261,0.9204,0.6364,1.0,1.0,1.95
27,BRATS_00688.nii.gz,0.8933,0.8899,0.4857,1.0,1.0,4.123
28,BRATS_00690.nii.gz,0.9297,0.9297,0.9179,1.0,1.0,1.0
29,BRATS_00691.nii.gz,0.9207,0.9206,0.9433,1.0,1.0,1.0
30,BRATS_00856.nii.gz,0.9691,0.9487,0.9454,0.0,1.0,1.0
31,BRATS_01014.nii.gz,0.9764,0.9393,0.9488,0.0,1.0,1.0
32,BRATS_01019.nii.gz,0.9765,0.9369,0.9433,0.0,1.0,1.0
33,BRATS_01024.nii.gz,0.9739,0.9438,0.9571,0.0,1.0,0.0
34,BRATS_01176.nii.gz,0.0,0.0,1.0,373.129,373.129,0.0
35,BRATS_01180.nii.gz,0.6667,0.8235,0.8,3.162,2.3890000000000002,2.55
36,BRATS_01182.nii.gz,0.7791,0.7925,0.7786,1.0,1.4140000000000001,1.7069999999999999
37,BRATS_01184.nii.gz,0.8812,0.8688,0.8789,1.0,1.0,1.0
38,BRATS_01187.nii.gz,0.9199,0.8541,0.89,1.0,1.0,1.0
39,BRATS_01189.nii.gz,0.9303,0.8705,0.9013,1.0,1.0,1.0
40,BRATS_01190.nii.gz,0.95,0.8924,0.8919,0.05,1.0,1.0
41,BRATS_01195.nii.gz,0.9475,0.8797,0.8878,1.0,1.0,1.0
42,BRATS_01344.nii.gz,0.7366,0.734,1.0,3.495,3.517,0.0
43,BRATS_01350.nii.gz,0.9358,0.9332,0.9463,1.0,1.0,0.8
