,name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
0,BRATS_00002.nii.gz,0.9344,0.8136,0.8678,1.0,1.4140000000000001,1.0
1,BRATS_00003.nii.gz,0.9318,0.8306,0.8702,1.0,1.0,1.0
2,BRATS_00006.nii.gz,0.9192,0.8397,0.8861,1.0,1.0,1.0
3,BRATS_00008.nii.gz,0.9371,0.8527,0.9143,1.0,1.0,1.0
4,BRATS_00016.nii.gz,0.7821,0.7596,0.8,2.8280000000000003,2.949,1.649
5,BRATS_00017.nii.gz,0.7387,0.6731,1.0,3.0,3.105,0.0
6,BRATS_00170.nii.gz,0.7887,0.7758,0.3333,17.489,17.493,2.031
7,BRATS_00172.nii.gz,0.7726,0.7532,0.8889,15.811,15.89,1.062
8,BRATS_00176.nii.gz,0.8502,0.8523,0.881,2.0,2.0,1.0
9,BRATS_00180.nii.gz,0.8531,0.8551,0.9074,6.555,6.325,1.0
10,BRATS_00181.nii.gz,0.8514,0.8474,0.8673,6.707999999999999,6.707999999999999,1.0
11,BRATS_00338.nii.gz,0.9533,0.9516,0.9741,0.0,0.0,0.0
12,BRATS_00343.nii.gz,0.9617,0.9499,0.9607,0.0,0.2,0.0
13,BRATS_00347.nii.gz,0.9742,0.9656,0.965,0.0,0.0,0.0
14,BRATS_00348.nii.gz,0.9737,0.966,0.9637,0.0,0.0,0.0
15,BRATS_00351.nii.gz,0.9679,0.959,0.9671,0.0,0.0,0.0
16,BRATS_00508.nii.gz,0.7099,0.6899,0.0,3.6060000000000003,3.6060000000000003,1.0
17,BRATS_00510.nii.gz,0.9093,0.8917,0.7883,1.0,1.0,2.0
18,BRATS_00511.nii.gz,0.9379,0.9154,0.8763,1.0,1.0,1.0
19,BRATS_00516.nii.gz,0.9672,0.9088,0.9279,0.0,1.0,1.0
20,BRATS_00517.nii.gz,0.9641,0.9245,0.9276,0.0,1.0,1.0
21,BRATS_00519.nii.gz,0.9514,0.8901,0.9211,0.0,1.0,1.0
22,BRATS_00520.nii.gz,0.9608,0.902,0.8981,0.0,1.0,1.0
23,BRATS_00675.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
24,BRATS_00682.nii.gz,0.8544,0.8544,1.0,1.0,1.0,0.0
25,BRATS_00684.nii.gz,0.9097,0.9097,1.0,1.0,1.0,0.0
26,BRATS_00687.nii.gz,0.9322,0.9322,0.6667,1.0,1.0,1.85
27,BRATS_00688.nii.gz,0.8859,0.8869,0.6098,1.0,1.0,3.583
28,BRATS_00690.nii.gz,0.9264,0.9252,0.9159,1.0,1.0,1.0
29,BRATS_00691.nii.gz,0.9248,0.9226,0.9424,1.0,1.0,1.0
30,BRATS_00856.nii.gz,0.9543,0.9328,0.9454,0.0,1.0,1.0
31,BRATS_01014.nii.gz,0.9492,0.9113,0.9477,1.0,1.0,1.0
32,BRATS_01019.nii.gz,0.9686,0.9277,0.9404,0.0,1.0,1.0
33,BRATS_01024.nii.gz,0.9686,0.9384,0.9536,0.0,1.0,0.0
34,BRATS_01176.nii.gz,0.0,0.0,1.0,373.129,373.129,0.0
35,BRATS_01180.nii.gz,0.8,0.8,0.75,1.6,1.6,2.3
36,BRATS_01182.nii.gz,0.7821,0.7765,0.7801,1.0,1.0,1.4140000000000001
37,BRATS_01184.nii.gz,0.8714,0.8498,0.864,1.0,1.0,1.0
38,BRATS_01187.nii.gz,0.8999,0.8196,0.8762,1.0,1.0,1.0
39,BRATS_01189.nii.gz,0.9242,0.8634,0.9045,1.0,1.0,1.0
40,BRATS_01190.nii.gz,0.9374,0.8727,0.8814,1.0,1.0,1.0
41,BRATS_01195.nii.gz,0.9491,0.8821,0.8894,1.0,1.0,1.0
42,BRATS_01344.nii.gz,0.7485,0.7485,1.0,3.0,3.0,0.0
43,BRATS_01350.nii.gz,0.9231,0.9214,0.9417,1.0,1.0,1.0
44,BRATS_01518.nii.gz,0.9173,0.9173,0.6667,1.0,1.0,1.0
45,BRATS_01519.nii.gz,0.8966,0.8953,0.6,1.4140000000000001,1.4140000000000001,1.021
46,BRATS_01520.nii.gz,0.9318,0.9327,0.7925,1.0,1.0,1.0
47,BRATS_01525.nii.gz,0.9521,0.9415,0.9123,0.0,1.0,1.0
48,BRATS_01680.nii.gz,0.0,0.0,1.0,373.129,373.129,0.0
49,BRATS_01681.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
50,BRATS_01688.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
51,BRATS_01689.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
52,BRATS_01695.nii.gz,0.8889,0.8889,0.8235,1.0,1.0,3.5
53,BRATS_02016.nii.gz,0.8925,0.8709,0.9595,1.4140000000000001,2.0,0.0
54,BRATS_02020.nii.gz,0.9319,0.9212,0.9689,1.0,1.0,0.0
55,BRATS_02021.nii.gz,0.9384,0.922,0.9666,1.0,1.0,0.0
56,BRATS_02024.nii.gz,0.9548,0.9408,0.9649,0.0,1.0,0.0
57,BRATS_02025.nii.gz,0.9532,0.939,0.9755,0.0,1.0,0.0
58,BRATS_02026.nii.gz,0.9583,0.9459,0.9739,0.0,1.0,0.0
59,BRATS_02027.nii.gz,0.9615,0.9476,0.9642,0.0,1.0,0.0
60,BRATS_02033.nii.gz,0.973,0.9657,0.9728,0.0,0.0,0.0
61,BRATS_02184.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
62,BRATS_02189.nii.gz,0.8824,0.8824,1.0,1.0,1.0,0.0
63,BRATS_02196.nii.gz,0.8778,0.834,0.8757,1.4140000000000001,2.443,1.0
64,BRATS_02201.nii.gz,0.9169,0.8649,0.829,1.0,1.0,1.0
65,BRATS_02202.nii.gz,0.9283,0.881,0.8726,1.0,1.0,1.0
66,BRATS_02356.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
67,BRATS_02370.nii.gz,0.936,0.936,1.0,1.0,1.0,0.0
68,BRATS_02520.nii.gz,0.0,0.0,1.0,373.129,373.129,0.0
69,BRATS_02523.nii.gz,0.8,0.8,1.0,1.1079999999999999,1.1079999999999999,0.0
70,BRATS_02530.nii.gz,0.8165,0.8159,1.0,1.0,1.0,0.0
71,BRATS_02533.nii.gz,0.8064,0.8094,1.0,1.4140000000000001,1.4140000000000001,0.0
72,BRATS_02534.nii.gz,0.7654,0.7691,0.5556,2.2359999999999998,2.2359999999999998,8.297
73,BRATS_02537.nii.gz,0.9331,0.9266,0.9358,1.0,1.0,1.0
74,BRATS_02689.nii.gz,0.9489,0.9353,0.9629,1.0,1.0,0.0
75,BRATS_02699.nii.gz,0.9513,0.9424,0.917,0.0,1.0,1.0
76,BRATS_02703.nii.gz,0.9362,0.9308,0.9363,1.0,1.0,1.0
77,BRATS_02704.nii.gz,0.9314,0.9228,0.9172,1.0,1.0,1.0
78,BRATS_02706.nii.gz,0.9182,0.913,0.8974,1.0,1.0,1.0
